Rank,Ticker,Company,Industry,City,State,Zip,Website,Employees,"Revenue (in millions, USD)","Valuation (in millions, USD)","Profits (in millions, USD)",Profits (% of Sales),CEO
124,KMX,CarMax,"Automotive Retailing, Services",Richmond,Virginia,23238,www.carmax.com,"32,647","$33,197","$10,158","$1,151",3.5,William D. Nash
125,SBUX,Starbucks,Food Services,Seattle,Washington,98134,www.starbucks.com,"402,000","$32,250","$119,677","$3,282",10.2,Laxman Narasimhan
126,MOH,Molina Healthcare,Health Care: Insurance and Managed Care,Long Beach,California,90802,www.molinahealthcare.com,"15,000","$31,974","$15,586",$792,2.5,Joseph M. Zubretsky
127,UBER,Uber Technologies,Internet Services and Retailing,San Francisco,California,94158,www.uber.com,"32,800","$31,877","$63,840","-$9,141",-28.7,Dara Khosrowshahi
128,PM,Philip Morris International,Tobacco,Stamford,Connecticut,6901,www.pmi.com,"79,800","$31,762","$150,946","$9,048",28.5,Jacek Olczak
129,NFLX,Netflix,Entertainment,Los Gatos,California,95032,www.netflix.com,"12,800","$31,616","$153,858","$4,492",14.2,Ted Sarandos
130,NRG,NRG Energy,Energy,Houston,Texas,77002,www.nrg.com,"6,603","$31,543","$7,965","$1,221",3.9,Mauricio Gutierrez
131,MDLZ,Mondelez International,Food Consumer Products,Chicago,Illinois,60607,www.mondelezinternational.com,"91,000","$31,496","$95,050","$2,717",8.6,Dirk Van De Put
132,DHR,Danaher,Medical Products and Equipment,Washington,District of Columbia,20037,www.danaher.com,"80,000","$31,471","$183,764","$7,209",22.9,Rainer M. Blair
133,CRM,Salesforce,Computer Software,San Francisco,California,94105,www.salesforce.com,"79,390","$31,352","$199,780",$208,0.7,Marc R. Benioff
134,PARA,Paramount Global,Entertainment,New York,New York,10036,www.paramount.com,"27,400","$31,331","$14,657","$1,104",3.5,Robert M. Bakish
135,CBRE,CBRE Group,Real Estate,Dallas,Texas,75201,www.cbre.com,"115,000","$30,828","$22,563","$1,407",4.6,
