Rank,Ticker,Company,Industry,Employees,"Revenue (in millions, USD)","Valuation (in millions, USD)","Profits (in millions, USD)",Profits (% of Sales)
383,ULTA,Ulta Beauty,Specialty Retailers: Other,"35,750","$10,209","$27,390","$1,242",12.2
384,AIZ,Assurant,Insurance: Property and Casualty (Stock),"13,700","$10,193","$6,354",$277,2.7
385,WY,Weyerhaeuser,Forest and Paper Products,"9,264","$10,184","$22,082","$1,880",18.5
386,BIIB,Biogen,Pharmaceuticals,"8,725","$10,173","$40,171","$3,047",29.9
387,DAN,Dana,Motor Vehicles & Parts,"41,800","$10,156","$2,172",-$242,-2.4
388,UGI,UGI,Utilities: Gas and Electric,"10,000","$10,106","$7,284","$1,073",10.6
389,CHWY,Chewy,Internet Services and Retailing,"19,400","$10,099","$15,959",$49,0.5
390,OMI,Owens & Minor,Wholesalers: Health Care,"22,500","$9,956","$1,109",$22,0.2
391,DGX,Quest Diagnostics,Health Care: Pharmacy and Other Services,"44,500","$9,883","$15,750",$946,9.6
392,PEG,Public Service Enterprise Group,Utilities: Gas and Electric,"12,525","$9,800","$31,148","$1,031",10.5
393,EBAY,Ebay,Internet Services and Retailing,"11,600","$9,795","$23,821","-$1,269",-13.0
394,MTZ,MasTec,Engineering & Construction,"32,000","$9,778","$7,441",$33,0.3
395,OC,Owens Corning,"Building Materials, Glass","19,000","$9,761","$8,697","$1,241",12.7
396,CE,Celanese,Chemicals,"13,263","$9,673","$12,068","$1,894",19.6
397,ATUS,Altice USA,Telecommunications,"11,000","$9,648","$1,560",$195,2.0
398,ALK,Alaska Air Group,Airlines,"24,196","$9,646","$5,348",$58,0.6
399,SPTN,SpartanNash,Wholesalers: Food and Grocery,"14,000","$9,643",$870,$35,0.4
400,FANG,Diamondback Energy,"Mining, Crude-Oil Production",972,"$9,643","$24,816","$4,386",45.5
401,ICE,Intercontinental Exchange,Securities,"8,911","$9,636","$58,372","$1,446",15.0
402,DRI,Darden Restaurants,Food Services,"178,956","$9,630","$18,884",$953,9.9
403,UFPI,UFP Industries,"Building Materials, Glass","15,500","$9,627","$4,964",$693,7.2
404,WEC,WEC Energy Group,Utilities: Gas and Electric,"7,022","$9,597","$29,900","$1,408",14.7
405,YUMC,Yum China Holdings,Food Services,"275,500","$9,569","$26,517",$442,4.6
406,ENLC,EnLink Midstream,Pipelines,"1,132","$9,542","$5,102",$361,3.8
408,NWL,Newell Brands,"Home Equipment, Furnishings","28,000","$9,459","$5,145",$197,2.1
409,GPK,Graphic Packaging Holding,"Packaging, Containers","24,000","$9,440","$7,829",$522,5.5
410,OLN,Olin,Chemicals,"7,780","$9,376","$7,263","$1,327",14.2
411,FITB,Fifth Third Bancorp,Commercial Banks,"19,319","$9,353","$18,143","$2,446",26.2
413,CNP,CenterPoint Energy,Utilities: Gas and Electric,"8,986","$9,321","$18,589","$1,057",11.3
415,COMM,CommScope Holding,Network and Other Communications Equipment,"30,000","$9,228","$1,336","-$1,287",-13.9
416,KLAC,KLA,Semiconductors and Other Electronic Components,"14,140","$9,212","$55,277","$3,322",36.1
417,JBLU,JetBlue Airways,Airlines,"18,785","$9,158","$2,383",-$362,-4.0
418,MSI,Motorola Solutions,Network and Other Communications Equipment,"20,000","$9,112","$47,917","$1,363",15.0
419,CFG,Citizens Financial Group,Commercial Banks,"18,889","$9,069","$14,709","$2,073",22.9
420,CTRA,Coterra Energy,"Mining, Crude-Oil Production","1,225","$9,051","$18,786","$4,065",44.9
421,AVY,Avery Dennison,"Packaging, Containers","36,000","$9,039","$14,513",$757,8.4
422,PVH,PVH,Apparel,"25,000","$9,024","$5,592",$200,2.2
423,GXO,GXO Logistics,Transportation and Logistics,"112,000","$8,993","$5,993",$197,2.2
424,PII,Polaris,Transportation Equipment,"16,200","$8,987","$6,304",$447,5.0
425,GPN,Global Payments,Financial Data Services,"25,000","$8,976","$27,761",$112,1.2
426,ARNC,Arconic,Metals,"11,550","$8,961","$2,607",-$182,-2.0
427,VRTX,Vertex Pharmaceuticals,Pharmaceuticals,"4,800","$8,931","$81,002","$3,322",37.2
428,CMC,Commercial Metals,Metals,"12,483","$8,914","$5,727","$1,217",13.7
